market,currency,slug,category,packLabel,indiaRetailInr,indiaFloruviInr,rate,localRetailEstimate,floruviPrice,basis
ae,AED,butterhead-lettuce,leafy-greens,"1 head · 120–250 g",75.00,105.00,0.10666667,8.00,11.25,"own median of 1"
ae,AED,romaine-lettuce,leafy-greens,"1 head · 120–250 g",75.00,105.00,0.082880702,6.22,8.75,"produce median"
ae,AED,green-oakleaf-lettuce,leafy-greens,"75 g",80.00,112.00,0.082880702,6.63,9.50,"produce median"
ae,AED,red-oakleaf-lettuce,leafy-greens,"250 g",210.00,294.00,0.082880702,17.40,24.50,"produce median"
ae,AED,lollo-rosso-lettuce,leafy-greens,"250 g",100.00,140.00,0.082880702,8.29,11.75,"produce median"
ae,AED,lollo-bionda-lettuce,leafy-greens,"200 g",50.00,70.00,0.082880702,4.14,6.00,"produce median"
ae,AED,iceberg-lettuce,leafy-greens,"200–300 g",200.00,280.00,0.082880702,16.58,23.25,"produce median"
ae,AED,arugula,leafy-greens,"100 g",99.00,138.60,0.052455988,5.19,7.50,"own median of 2"
ae,AED,spinach,leafy-greens,"250 g",75.00,105.00,0.1657614,12.43,17.50,"own median of 1, limited"
ae,AED,baby-kale,leafy-greens,"250 g",437.00,611.80,0.082880702,36.22,50.75,"produce median"
ae,AED,curly-kale,leafy-greens,"100 g",99.00,138.60,0.044444444,4.40,6.25,"own median of 1"
ae,AED,lacinato-kale,leafy-greens,"100 g",99.00,138.60,0.082880702,8.21,11.50,"produce median"
ae,AED,swiss-chard,leafy-greens,"100 g",99.00,138.60,0.082880702,8.21,11.50,"produce median"
ae,AED,bok-choy,leafy-greens,"250 g",149.00,208.60,0.082880702,12.35,17.50,"produce median"
ae,AED,tatsoi,leafy-greens,"250 g",149.00,208.60,0.082880702,12.35,17.50,"produce median"
ae,AED,mizuna,leafy-greens,"100 g",99.00,138.60,0.082880702,8.21,11.50,"produce median"
ae,AED,mustard-greens,leafy-greens,"200 g",38.00,53.20,0.082880702,3.15,4.50,"produce median"
ae,AED,watercress,leafy-greens,"100 g",169.00,236.60,0.082880702,14.01,19.75,"produce median"
ae,AED,sorrel,leafy-greens,"100 g",100.00,140.00,0.082880702,8.29,11.75,"produce median"
ae,AED,endive,leafy-greens,"250 g",55.00,77.00,0.082880702,4.56,6.50,"produce median"
ae,AED,radicchio,leafy-greens,"200–300 g",80.00,112.00,0.082880702,6.63,9.50,"produce median"
ae,AED,amaranth-greens,leafy-greens,"1 bunch · 125–150 g",75.00,105.00,0.082880702,6.22,8.75,"produce median"
ae,AED,fenugreek-greens,leafy-greens,"1 bunch · 150–200 g",75.00,105.00,0.082880702,6.22,8.75,"produce median"
ae,AED,napa-cabbage,leafy-greens,"250 g",110.00,154.00,0.082880702,9.12,13.00,"produce median"
ae,AED,sweet-basil,herbs,"100 g",100.00,140.00,0.06,6.00,8.50,"own median of 1"
ae,AED,thai-basil,herbs,"100 g",149.00,208.60,0.068380952,10.19,14.50,"herb median"
ae,AED,holy-basil,herbs,"250 g",150.00,210.00,0.068380952,10.26,14.50,"herb median"
ae,AED,mint,herbs,"1 bunch · 125–150 g",40.00,56.00,0.1367619,5.47,7.75,"own median of 1, limited"
ae,AED,coriander,herbs,"1 bunch · 150–200 g",75.00,105.00,0.065333333,4.90,7.00,"own median of 1"
ae,AED,flat-leaf-parsley,herbs,"100 g",85.00,119.00,0.071428571,6.07,8.50,"own median of 1"
ae,AED,curly-parsley,herbs,"50 g",55.00,77.00,0.068380952,3.76,5.50,"herb median"
ae,AED,dill,herbs,"1 bunch · 125–150 g",75.00,105.00,0.068380952,5.13,7.25,"herb median"
ae,AED,chives,herbs,"100 g",149.00,208.60,0.068380952,10.19,14.50,"herb median"
ae,AED,garlic-chives,herbs,"100 g",100.00,140.00,0.068380952,6.84,9.75,"herb median"
ae,AED,oregano,herbs,"100 g",150.00,210.00,0.068380952,10.26,14.50,"herb median"
ae,AED,thyme,herbs,"100 g",120.00,168.00,0.068380952,8.21,11.50,"herb median"
ae,AED,rosemary,herbs,"100 g",120.00,168.00,0.068380952,8.21,11.50,"herb median"
ae,AED,sage,herbs,"100 g",150.00,210.00,0.068380952,10.26,14.50,"herb median"
ae,AED,lemon-balm,herbs,"100 g",100.00,140.00,0.068380952,6.84,9.75,"herb median"
ae,AED,shiso,herbs,"100 g",85.00,119.00,0.068380952,5.81,8.25,"herb median"
ae,AED,chervil,herbs,"100 g",100.00,140.00,0.068380952,6.84,9.75,"herb median"
ae,AED,tarragon,herbs,"100 g",100.00,140.00,0.068380952,6.84,9.75,"herb median"
ae,AED,marjoram,herbs,"100 g",40.00,56.00,0.068380952,2.74,4.00,"herb median"
ae,AED,lemongrass,herbs,"100 g",30.00,42.00,0.068380952,2.05,3.00,"herb median"
ae,AED,broccoli-microgreens,microgreens,"25 g",160.00,224.00,0.082880702,13.26,18.75,"produce median"
ae,AED,radish-microgreens,microgreens,"50 g",200.00,280.00,0.125,25.00,35.00,"own median of 1"
ae,AED,pea-shoots,microgreens,"50 g",200.00,280.00,0.1,20.00,28.00,"own median of 1"
ae,AED,sunflower-shoots,microgreens,"50 g",79.00,110.60,0.082880702,6.55,9.25,"produce median"
ae,AED,mustard-microgreens,microgreens,"50 g",200.00,280.00,0.082880702,16.58,23.25,"produce median"
ae,AED,red-cabbage-microgreens,microgreens,"50 g",179.00,250.60,0.082880702,14.84,21.00,"produce median"
ae,AED,kale-microgreens,microgreens,"50 g",179.00,250.60,0.082880702,14.84,21.00,"produce median"
ae,AED,arugula-microgreens,microgreens,"25 g",170.00,238.00,0.082880702,14.09,19.75,"produce median"
ae,AED,beet-microgreens,microgreens,"50 g",149.00,208.60,0.082880702,12.35,17.50,"produce median"
ae,AED,amaranth-microgreens,microgreens,"50 g",250.00,350.00,0.082880702,20.72,29.25,"produce median"
ae,AED,basil-microgreens,microgreens,"25 g",160.00,224.00,0.082880702,13.26,18.75,"produce median"
ae,AED,coriander-microgreens,microgreens,"50 g",149.00,208.60,0.082880702,12.35,17.50,"produce median"
ae,AED,fenugreek-microgreens,microgreens,"50 g",149.00,208.60,0.082880702,12.35,17.50,"produce median"
ae,AED,wheatgrass,microgreens,"250 g",300.00,420.00,0.082880702,24.86,35.00,"produce median"
ae,AED,kohlrabi-microgreens,microgreens,"50 g",179.00,250.60,0.082880702,14.84,21.00,"produce median"
ae,AED,garden-cress-microgreens,microgreens,"50 g",179.00,250.60,0.082880702,14.84,21.00,"produce median"
ae,AED,cherry-tomatoes,fruiting-crops,"250 g",110.00,154.00,0.10909091,12.00,17.00,"own median of 2"
ae,AED,beefsteak-tomatoes,fruiting-crops,"250 g",220.00,308.00,0.082880702,18.23,25.75,"produce median"
ae,AED,plum-tomatoes,fruiting-crops,"250 g",220.00,308.00,0.082880702,18.23,25.75,"produce median"
ae,AED,cucumber,fruiting-crops,"500 g",60.00,84.00,0.15833333,9.50,13.50,"own median of 1"
ae,AED,bell-peppers,fruiting-crops,"3 peppers · mixed colours",250.00,350.00,0.04752,11.88,16.75,"own median of 1"
ae,AED,green-chillies,fruiting-crops,"100 g",25.00,35.00,0.082880702,2.07,3.00,"produce median"
ae,AED,jalapeno-peppers,fruiting-crops,"200 g",65.00,91.00,0.082880702,5.39,7.75,"produce median"
ae,AED,strawberries,fruiting-crops,"250 g",250.00,350.00,0.07995,19.99,28.00,"own median of 1"
ae,AED,eggplant,fruiting-crops,"250 g",40.00,56.00,0.082880702,3.32,4.75,"produce median"
ae,AED,zucchini,fruiting-crops,"150–200 g",57.00,79.80,0.053651316,3.06,4.50,"own median of 2"
ae,AED,muskmelon,fruiting-crops,"1 melon",190.00,266.00,0.082880702,15.75,22.25,"produce median"
ae,AED,green-beans,fruiting-crops,"250 g",76.00,106.40,0.082880702,6.30,9.00,"produce median"
ae,AED,spring-onions,roots-and-stems,"1 bunch · 225–250 g",100.00,140.00,0.082880702,8.29,11.75,"produce median"
ae,AED,celery,roots-and-stems,"250 g",149.00,208.60,0.082880702,12.35,17.50,"produce median"
